Input,Output
"Axe, shadow element, legendary",The Aegis of Whirl
"Crossbow, void element, epic",Void of the Reaver
"Staff, shadow element, rare",Umbral of the Spire of Dusk
"Spear, wind element, legendary",ZephyrStaff
"Sword, void element, ancient",The Edge of Fang
"Mace, shadow element, ancient",UmbralBreaker of Tide
"Scythe, arcane element, legendary",Legendary Fury of Dark
"Bow, toxic element, legendary",Legendary Glaive
"Staff, toxic element, mythic",Blight of the Scythe of Wave
"Shield, light element, uncommon",Radiant-Edge of Spell
"Spear, shadow element",Gloom-Glaive of Ember
"Staff, shadow element, common",Umbral of the Claw
"Axe, void element",Dark-Cutter of Gloom
"Shield, arcane element, mythic",Mythic Scythe of Wave
"Bow, light element, ancient",Sun-Shard of Mire
"Sword, poison element, ancient",Toxic-Scythe
"Gauntlet, toxic element, ancient",Ancient Hammer
"Crossbow, fire element, rare",Ember of the Slicer
"Whip, poison element, uncommon",ToxicShard of Mire
"Wand, earth element, common",The Slicer of Dark
"Bow, void element, ancient",Null of the Wand
"Dagger, toxic element, ancient",Mire of the Claw
"Staff, light element, rare",Aurora of the Scythe of Wave
"Orb, shadow element, ancient",Ancient Warden of Spell
"Gauntlet, void element",Null-Shard of Chill
"Axe, void element",Dark-Wand of Blessed
"Sword, lightning element, legendary",Bolt-Wand
"Sword, light element, ancient",Aurora of the Claw
"Staff, ice element, uncommon",The Talon
"Bow, blood element, mythic",The Staff
"Mace, wind element, uncommon",Uncommon Wand
"Scythe, ice element, ancient",The Lance
"Shield, poison element, common",Plague of the Lance
"Orb, void element",Abyss-Aegis of Whirl
"Wand, ice element, ancient",The Scythe of Quake
"Axe, toxic element, legendary",Blight-Kris of Ember
"Whip, shadow element, legendary",GloomBlade of Snow
"Whip, earth element, ancient",Ancient Slicer
"Crossbow, earth element, uncommon",Uncommon Reaver of Night
"Axe, light element, uncommon",RadiantBlade of Ember
"Crossbow, toxic element, mythic",Mythic Slicer
"Dagger, storm element, rare",Cloud of the Staff
"Dagger, toxic element, ancient",Mire of the Edge
"Bow, wind element, uncommon",ZephyrLance
"Axe, storm element, legendary",Storm-Warden
"Gauntlet, lightning element, rare",Volt-Blade
"Dagger, light element, uncommon",The Shard of Rain
"Whip, storm element, ancient",The Talon of Flame
"Spear, storm element, legendary",Rain of the Spire
"Dagger, arcane element, epic",The Slicer
"Scythe, void element, common",The Kris of Terra
"Hammer, blood element, mythic",Sanguine of the Edge
"Hammer, holy element, epic",FaithTalon
"Dagger, fire element, ancient",Ember-Staff of Mystic
"Orb, wind element, uncommon",Storm-Spire
"Bow, holy element, uncommon",The Lance
"Wand, poison element, rare",VenomKris
"Sword, blood element, rare",Sanguine of the Aegis of Blackhole
"Crossbow, light element, rare",The Shard of Hemorrhage
"Orb, ice element, epic",The Talon
"Sword, light element, rare",Luminous of the Breaker of Squall
"Bow, water element, mythic",Wave-Slicer of Dark
"Spear, water element, ancient",The Maul of Toxic
"Shield, water element, legendary",Aqua of the Lance of Tempest
"Dagger, arcane element, common",Mana of the Lance
"Scythe, poison element, legendary",Plague of the Kris of Ember
"Gauntlet, ice element, mythic",Chill-Aegis of Abyss
"Bow, holy element, rare",SacredFury
"Shield, holy element, rare",Rare Scythe
"Sword, fire element, common",Common Shard of Hemorrhage
"Sword, toxic element",Mire-Aegis of Terra
"Whip, void element, common",DarkReaver of Void
"Sword, wind element, mythic",WhirlWand
"Scythe, storm element, ancient",Squall of the Kris of Frost
"Mace, ice element, epic",Glacier of the Maul
"Whip, shadow element, legendary",GloomFang of Night
"Orb, toxic element, ancient",Ancient Fang of Night
"Gauntlet, wind element, common",Storm-Wand
"Orb, blood element, epic",Epic Spire of Storm
"Gauntlet, holy element, rare",Blessed of the Scythe
"Spear, blood element, rare",Rare Breaker
"Shield, water element, uncommon",Deep-Reaver of Grace
"Orb, lightning element, common",The Lance
"Bow, void element, ancient",Null of the Wand of Umbral
"Dagger, ice element, uncommon",The Breaker
"Axe, fire element, common",Common Cutter
"Bow, toxic element, mythic",Mythic Slicer
"Sword, wind element, legendary",Whirl-Aegis of Abyss
"Spear, blood element, legendary",Sanguine-Hammer
"Mace, blood element, legendary",Hemorrhage-Wand of Null
"Axe, storm element",Rain-Breaker
"Shield, arcane element, mythic",Mythic Spire of Blaze
"Crossbow, fire element, rare",Ember of the Scythe
"Dagger, poison element, uncommon",Venom of the Aegis of Ember
"Whip, arcane element, epic",The Hammer of Shade
"Dagger, poison element, uncommon",Venom of the Lance
"Whip, shadow element, ancient",NightShard of Venom
"Whip, storm element, rare",Tempest of the Lance
"Sword, holy element, rare",Rare Cutter of Squall
"Scythe, earth element, uncommon",The Fury of Shade
"Shield, lightning element, ancient",ShockFury
"Spear, earth element, rare",Root-Reaver
"Crossbow, light element, legendary",Luminous of the Wand
"Scythe, water element, legendary",Deep-Glaive
"Mace, shadow element, ancient",UmbralShard
"Scythe, earth element, uncommon",The Scythe of Storm
"Bow, void element, ancient",Null of the Fang of Stone
"Orb, lightning element, common",The Cutter of Arcana
"Spear, toxic element, rare",Decay-Fury
"Scythe, void element, uncommon",Blackhole-Kris of Deep
"Whip, ice element",Ice-Glaive
"Scythe, water element, common",Deep-Blade
"Crossbow, wind element, common",Common Fury of Dark
"Bow, lightning element, ancient",The Claw of Radiant
"Spear, blood element, common",PulseTalon
"Sword, ice element, common",GlacierLance of Hemorrhage
"Whip, ice element",Ice-Warden of Decay
"Axe, arcane element, uncommon",Rune of the Talon
"Orb, void element, common",Null-Slicer of Pulse
"Whip, toxic element, legendary",BlightBlade of Glacier
"Whip, fire element, ancient",The Talon
"Orb, ice element, mythic",Chill-Edge
"Scythe, water element, common",Deep-Edge
"Gauntlet, blood element, uncommon",Sanguine-Hammer
"Dagger, water element, rare",WaveLance
"Shield, storm element, uncommon",Uncommon Warden
"Axe, toxic element, legendary",Blight-Slicer
"Axe, fire element, uncommon",FlameMaul of Snow
"Dagger, poison element, legendary",The Aegis
"Mace, water element, common",Tide-Spire of Shock
"Scythe, ice element, ancient",The Kris
"Crossbow, water element, epic",Epic Warden of Faith
"Spear, poison element, rare",The Reaver of Whirl
"Mace, water element, common",Tide-Kris
"Shield, holy element, uncommon",The Scythe of Halo
"Staff, blood element, ancient",Ancient Scythe of Hemorrhage
"Spear, wind element, ancient",The Edge
"Spear, holy element, rare",The Wand
"Gauntlet, fire element, legendary",Inferno-Slicer of Sacred
"Gauntlet, water element",Wave-Fury of Storm
"Hammer, ice element",Glacier-Scythe of Venom
"Sword, earth element, rare",Quake of the Fury of Storm
"Orb, toxic element, common",The Blade of Glacier
"Scythe, water element, uncommon",Flood of the Shard
"Orb, earth element, ancient",Ancient Scythe of Quake
"Axe, toxic element, legendary",Blight-Cutter of Squall
"Shield, arcane element, mythic",Mythic Blade
"Bow, toxic element, mythic",Mythic Cutter of Sanguine
"Orb, poison element, ancient",Fang of the Breaker
"Staff, ice element, uncommon",The Staff
"Axe, poison element, epic",AcidHammer
"Whip, shadow element, legendary",GloomSpire
"Staff, void element, legendary",The Fury
"Whip, void element, common",DarkScythe
"Axe, void element, rare",The Shard of Rain
"Orb, earth element, epic",RootSpire
"Whip, poison element, rare",Toxic of the Talon of Shock
"Axe, fire element, uncommon",FlameAegis
"Dagger, wind element, ancient",Breeze of the Staff of Mystic
"Wand, lightning element, uncommon",The Lance of Divine
"Scythe, earth element, legendary",Stone-Cutter of Flame
"Staff, void element, legendary",The Staff of Shade
"Scythe, ice element, ancient",The Talon
"Staff, lightning element, rare",Rare Kris of Stone
"Orb, blood element, epic",Epic Cutter of Thunder
"Spear, wind element, epic",The Wand of Bolt
"Spear, blood element, uncommon",Sanguine of the Kris
"Spear, storm element, common",Common Maul
"Axe, storm element",Rain-Scythe of Dark
"Scythe, arcane element, legendary",Legendary Lance
"Scythe, lightning element, uncommon",The Slicer
"Gauntlet, poison element, common",ToxicStaff
"Mace, shadow element, legendary",Umbral-Cutter of Spark
"Staff, poison element, common",Fang-Blade
"Shield, storm element, uncommon",Uncommon Spire
"Spear, blood element, legendary",Sanguine-Lance
"Spear, storm element, legendary",Rain of the Aegis
"Axe, shadow element, legendary",The Staff of Shade
"Hammer, toxic element, rare",Blight-Breaker of Gale
"Whip, wind element, ancient",Ancient Glaive
"Shield, poison element, common",Plague of the Spire
"Orb, toxic element, epic",ToxicKris of Rune
"Axe, shadow element, epic",The Blade
"Wand, water element, epic",Epic Warden of Spell
"Staff, holy element, rare",GraceScythe of Wave
"Spear, void element, legendary",Legendary Maul
"Dagger, holy element, uncommon",DivineBlade of Mire
"Shield, arcane element, mythic",Mythic Claw
"Sword, ice element, ancient",SnowBreaker of Toxic
"Axe, void element, mythic",The Staff
"Bow, void element, common",The Claw
"Axe, void element",Dark-Staff
"Bow, water element, mythic",Wave-Warden of Faith
"Spear, arcane element, mythic",Arcana-Reaver
"Scythe, storm element, rare",Rare Glaive
"Spear, void element, mythic",The Shard of Mire
"Gauntlet, poison element, rare",The Fury of Shade
"Hammer, blood element, mythic",Sanguine of the Lance of Divine
"Shield, blood element, ancient",Sanguine-Wand
"Whip, fire element, mythic",The Fury
"Whip, wind element, rare",Rare Slicer of Pulse
"Staff, poison element, common",Fang-Lance
"Wand, poison element",Plague-Lance
"Whip, poison element, epic",The Lance
"Axe, toxic element",Corrupt-Breaker of Glacier
"Crossbow, fire element, rare",Ember of the Scythe of Wave
"Spear, water element, legendary",Legendary Reaver
"Shield, storm element, common",The Cutter
"Hammer, blood element, mythic",Sanguine of the Reaver of Sanguine
"Dagger, lightning element, common",The Whisper of Tide
"Whip, toxic element, common",The Staff
"Shield, wind element, ancient",The Aegis of Terra
"Bow, toxic element, legendary",Legendary Maul
"Scythe, void element, common",The Spire of Shock
"Whip, storm element, ancient",The Spire
"Sword, water element, mythic",Deep-Claw of Chill
"Wand, earth element, rare",The Scythe
"Crossbow, water element, rare",Rare Warden of Blessed
"Orb, ice element, epic",The Cutter of Toxic
"Bow, wind element, common",Common Edge
"Crossbow, fire element",Inferno-Claw
"Whip, void element, legendary",Legendary Warden
"Staff, void element, common",Common Kris of Chill
"Gauntlet, toxic element, ancient",Ancient Wand of Blessed
"Spear, blood element, legendary",Sanguine-Fang of Umbral
"Shield, water element, uncommon",Deep-Lance
"Sword, void element, mythic",The Aegis
"Bow, wind element, common",Common Spire of Pyro
"Spear, water element, common",Flood of the Talon
"Sword, earth element, rare",Quake of the Whisper
"Axe, toxic element, uncommon",Decay of the Lance
"Spear, lightning element, ancient",The Lance
"Spear, ice element, epic",Epic Cutter
"Staff, water element, rare",WaveWand of Blessed
"Orb, toxic element, epic",ToxicBreaker of Mana
"Wand, blood element",Crimson-Whisper
"Wand, blood element",Crimson-Talon of Bolt
"Gauntlet, ice element, mythic",Chill-Wand of Chill
"Dagger, wind element, common",Breeze of the Staff of Shade
"Bow, blood element, epic",Epic Slicer of Pulse
"Crossbow, toxic element, epic",Epic Kris
"Mace, shadow element, legendary",Umbral-Reaver of Sanguine
"Spear, earth element, legendary",Terra of the Slicer
"Orb, blood element, epic",Epic Slicer
"Whip, poison element, rare",Toxic of the Talon
"Wand, poison element",Plague-Spire of Shock
"Crossbow, storm element, uncommon",CloudLance
"Bow, void element, common",The Aegis
"Crossbow, water element, ancient",The Talon of Bolt
"Orb, ice element, epic",The Kris of Umbral
"Crossbow, arcane element, uncommon",Uncommon Claw
"Axe, fire element, common",Common Shard
"Mace, earth element",Stone-Wand
"Staff, blood element, ancient",Ancient Fang of Venom
"Dagger, holy element, rare",The Wand of Acid
"Bow, shadow element, ancient",Ancient Scythe of Pyro
"Dagger, ice element, uncommon",The Kris
"Wand, blood element, rare",Rare Scythe
"Hammer, ice element, epic",The Fury of Shock
"Wand, poison element, uncommon",Uncommon Reaver of Decay
"Dagger, toxic element, rare",Mire-Maul
"Hammer, fire element, legendary",The Breaker of Mana
"Mace, light element, uncommon",The Warden
"Staff, light element, uncommon",SunFang of Night
"Spear, holy element, rare",The Kris of Terra
"Hammer, fire element, legendary",The Wand
"Bow, fire element, epic",The Maul
"Dagger, storm element, rare",Cloud of the Wand of Rain
"Staff, arcane element, legendary",MysticLance
"Staff, wind element, ancient",The Aegis of Grace
"Scythe, earth element, legendary",Stone-Cutter of Rain
"Dagger, water element, mythic",Mythic Breaker of Squall
"Mace, ice element, mythic",Chill of the Reaver of Night
"Sword, holy element, legendary",Blessed of the Glaive
"Sword, ice element, ancient",SnowGlaive
"Orb, toxic element, ancient",Ancient Cutter
"Axe, storm element, mythic",The Maul
"Dagger, toxic element, uncommon",The Fang of Squall
"Spear, shadow element, legendary",Dusk-Talon
"Orb, toxic element, mythic",MireAegis of Grace
"Staff, wind element, ancient",The Slicer
"Wand, shadow element, rare",Rare Fang of Night
"Whip, water element, rare",Deep of the Maul of Snow
"Dagger, water element, mythic",Mythic Fury
"Mace, fire element, mythic",Mythic Spire
"Whip, water element, rare",Deep of the Warden
"Wand, earth element",Terra-Wand of Rain
"Crossbow, lightning element, ancient",Thunder of the Slicer
"Bow, holy element, epic",Grace-Glaive
"Scythe, poison element, legendary",Plague of the Edge of Boulder
"Staff, toxic element, rare",Rare Claw of Chill
"Mace, poison element, epic",Plague of the Edge
"Scythe, toxic element, ancient",CorruptSpire of Dusk
"Mace, toxic element, common",The Kris
"Crossbow, ice element, common",GlacierLance
"Orb, water element, rare",Tide of the Shard
"Sword, ice element, legendary",The Breaker
"Dagger, lightning element, ancient",Ancient Cutter of Spark
"Spear, blood element, legendary",Sanguine-Wand
"Axe, toxic element, legendary",Blight-Shard of Mire
"Crossbow, fire element",Inferno-Hammer
"Dagger, arcane element, epic",The Aegis
"Crossbow, void element, epic",Void of the Staff of Rune
"Bow, water element, legendary",AquaSlicer of Acid
"Spear, void element, mythic",The Kris of Umbral
"Wand, earth element, rare",The Shard of Breeze
"Whip, holy element, uncommon",Blessed-Kris
"Whip, fire element, mythic",The Scythe of Aurora
"Orb, poison element, legendary",Legendary Hammer
"Wand, poison element, uncommon",Uncommon Wand
"Crossbow, toxic element, mythic",Mythic Talon of Flame
"Hammer, arcane element, legendary",Rune of the Spire of Shock
"Spear, earth element",Root-Aegis of Grace
"Mace, arcane element, mythic",Mythic Fury
"Crossbow, fire element",Inferno-Lance
"Staff, blood element, ancient",Ancient Edge of Aqua
"Axe, toxic element, uncommon",Decay of the Staff of Stone
"Orb, fire element, ancient",The Cutter of Toxic
